,unnamed: 0,country,total suicide rate,male rate,female rate,2022 population,average yearly temperature (1961–1990 celsius),inequality,ihdi,hdi,overall loss (%),growth since 2010,schizophrenia,bipolar disorder,eating disorders,anxiety disorders,drug use disorders,depression,alcohol use disorders,year,life ladder,log gdp per capita,social support,healthy life expectancy at birth,freedom to make life choices,generosity,perceptions of corruption,positive affect,negative affect
95,95,Dominican Republic,4.9,8.0,1.8,11228821,24.55,79,0.595,0.756,21.3,0.063,0.29,0.95,0.24,4.71,0.65,4.0,1.36,2019,6.004,"9,821",0.884,66.1,"0,877","-0,123","0,746","0,784","0,264"
96,96,Gambia,4.8,6.6,3.0,2705992,27.5,135,0.335,0.496,33.5,0.055,0.22,0.56,0.1,3.41,0.36,5.66,0.53,2019,5.164,"7,699",0.694,55.3,"0,677","0,410","0,798","0,773","0,401"
97,97,Uganda,4.6,7.6,1.7,47249585,22.8,118,0.399,0.544,26.7,0.061,0.21,0.59,0.1,4.15,0.43,6.69,0.86,2019,4.948,"7,688",0.805,56.1,"0,704","0,139","0,826","0,693","0,385"
98,98,Liberia,4.5,5.6,3.3,5302681,25.3,138,0.325,0.48,32.3,0.040,0.21,0.55,0.08,3.55,0.41,4.61,0.52,2019,5.121,"7,264",0.712,56.9,"0,706","0,051","0,828","0,636","0,389"
99,99,Nicaragua,4.4,6.9,1.9,6948392,24.9,99,0.505,0.66,23.5,0.036,0.29,0.9,0.18,4.63,0.38,3.45,2.76,2019,6.113,"8,595",0.874,67.8,"0,883","0,029","0,622","0,835","0,337"
100,100,Tanzania,4.3,6.6,2.0,65497748,22.35,119,0.397,0.528,25.0,0.053,0.22,0.61,0.11,3.91,0.4,4.77,1.45,2019,3.64,"7,886",0.687,58.0,"0,850","0,100","0,589","0,726","0,243"
101,101,Tajikistan,4.3,5.7,2.8,9952787,6.4,86,0.584,0.668,12.6,0.068,0.28,0.54,0.09,2.54,0.44,2.97,2.46,2019,5.464,"8,126",0.88,64.4,,"-0,045","0,490","0,729","0,178"
102,102,Albania,4.3,5.9,2.7,2842321,11.4,50,0.708,0.795,10.9,0.058,0.31,0.58,0.15,4.1,0.49,2.63,1.79,2019,4.995,"9,544",0.686,69.0,"0,777","-0,099","0,914","0,681","0,274"
103,103,Mali,4.1,5.3,2.9,22593590,28.25,148,0.289,0.434,33.4,0.037,0.21,0.55,0.09,2.77,0.27,3.6,0.47,2019,4.988,"7,752",0.755,52.2,"0,670","-0,038","0,846","0,712","0,358"
104,104,Azerbaijan,4.1,6.6,1.6,10358074,11.95,56,0.684,0.756,9.5,0.058,0.3,0.56,0.15,2.64,0.48,2.94,2.79,2019,5.173,"9,575",0.887,65.8,"0,854","-0,214","0,457","0,643","0,164"
105,105,Colombia,3.9,6.1,1.8,51874024,24.5,79,0.595,0.767,23.1,0.074,0.3,0.78,0.23,4.98,0.92,2.35,2.23,2019,6.35,"9,598",0.873,68.0,"0,822","-0,172","0,854","0,822","0,322"
106,106,Bangladesh,3.7,5.7,1.7,171186372,25.0,102,0.478,0.632,24.4,0.085,0.28,0.4,0.12,3.27,0.37,4.75,1.16,2019,5.114,"8,467",0.673,64.8,"0,902","-0,051","0,656","0,537","0,369"
107,107,Cyprus,3.6,6.0,1.3,1251488,18.45,30,0.805,0.887,9.2,0.048,0.3,0.99,0.44,7.01,0.67,3.38,1.8,2019,6.137,"10,585",0.776,73.9,"0,740","-0,008","0,865","0,763","0,290"
108,108,Nigeria,3.5,5.0,1.9,218541212,27.0,129,0.348,0.539,35.4,0.067,0.23,0.56,0.13,3.03,0.3,3.87,0.51,2019,4.356,"8,544",0.734,50.1,"0,729","0,032","0,873","0,715","0,245"
109,109,Tunisia,3.3,4.7,1.9,12356117,19.2,77,0.596,0.74,19.5,0.061,0.27,0.83,0.22,5.47,0.47,5.34,0.42,2019,4.315,"9,283",0.61,67.2,"0,659","-0,209","0,889","0,539","0,433"
110,110,Armenia,3.3,5.6,1.3,2780469,7.15,53,0.699,0.776,9.9,0.034,0.3,0.58,0.13,3.37,0.55,3.19,2.14,2019,5.488,"9,522",0.782,67.2,"0,844","-0,172","0,583","0,598","0,430"
111,111,Mauritania,3.1,4.0,2.2,4736139,27.65,127,0.371,0.546,32.1,0.044,0.23,0.57,0.12,2.82,0.37,3.76,0.46,2019,4.153,"8,556",0.798,57.3,"0,628","-0,102","0,743","0,692","0,260"
112,112,Egypt,3.0,4.0,2.0,110990103,22.1,100,0.497,0.707,29.7,0.013,0.26,0.76,0.21,4.81,0.35,4.13,0.41,2019,4.328,"9,373",0.772,62.0,"0,774","-0,199",,"0,517","0,313"
113,113,Panama,2.9,4.7,1.0,4408581,25.4,66,0.643,0.815,21.1,0.083,0.31,0.9,0.3,3.88,0.57,3.12,1.65,2019,6.086,"10,356",0.886,69.7,"0,883","-0,199","0,869","0,878","0,244"
114,114,Peru,2.8,4.2,1.4,34049588,19.6,71,0.628,0.777,19.2,0.128,0.29,0.97,0.31,5.84,0.94,2.33,0.81,2019,5.999,"9,461",0.809,68.4,"0,815","-0,130","0,874","0,820","0,375"
115,115,Algeria,2.5,3.1,1.8,44903225,22.5,77,0.596,0.748,20.3,,0.26,0.8,0.22,5.05,0.49,4.37,0.43,2019,4.745,"9,337",0.803,66.1,"0,385","0,005","0,741","0,585","0,215"
116,116,Indonesia,2.4,3.7,1.1,275501339,25.85,81,0.59,0.718,17.8,0.043,0.31,0.34,0.12,3.7,0.48,2.52,0.51,2019,5.347,"9,377",0.802,62.3,"0,866","0,555","0,861","0,877","0,302"
117,117,Turkey,2.4,3.6,1.2,85341241,9.9,57,0.683,0.82,16.7,0.119,0.26,0.84,0.31,4.76,0.38,4.16,0.51,2019,4.872,"10,246",0.792,67.2,"0,631","-0,136","0,760","0,422","0,368"
118,118,Jamaica,2.4,3.7,1.1,2827377,24.95,76,0.612,0.734,16.6,0.002,0.29,0.99,0.2,4.24,1.05,3.2,1.1,2019,6.309,"9,186",0.878,67.5,"0,891","-0,137","0,885","0,752","0,195"
119,119,Philippines,2.2,3.1,1.2,115559009,25.55,84,0.587,0.718,18.2,0.043,0.3,0.35,0.11,4.75,0.55,2.89,0.81,2019,6.268,"9,095",0.845,62.0,"0,910","-0,083","0,748","0,781","0,341"
120,120,Venezuela,2.1,3.5,0.7,28301696,25.35,82,0.588,0.711,17.3,0.009,0.29,0.87,0.22,4.18,0.43,3.36,1.58,2019,5.081,,0.888,66.7,"0,626",,"0,839","0,761","0,351"
121,121,Honduras,2.1,3.3,0.8,10432860,23.5,106,0.472,0.634,25.6,0.049,0.27,0.85,0.17,4.27,0.51,3.29,2.32,2019,5.93,"8,653",0.797,67.4,"0,846","0,063","0,815","0,850","0,279"
122,122,Jordan,1.6,2.5,0.7,11285869,18.3,72,0.622,0.729,14.7,0.027,0.27,0.83,0.21,5.23,0.45,4.4,0.43,2019,4.453,"9,201",0.793,67.0,"0,726","-0,165",,,
